iso3,country,scenario,year,target,base_value,prediction,feature,shap_value
AGO,Angola,SSP1,2030,poverty_3usd,3.867594086021506,12.035625,gdp_pc,6.332968704291845
AGO,Angola,SSP1,2050,poverty_3usd,3.867594086021506,8.596874999999999,gdp_pc,17.97514043028861
AGO,Angola,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.27658489643327455
AGO,Angola,SSP2,2030,poverty_3usd,3.867594086021506,18.913125,gdp_pc,10.454317915861264
AGO,Angola,SSP2,2050,poverty_3usd,3.867594086021506,13.509375,gdp_pc,10.242418800193905
AGO,Angola,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.5092896640619654
AGO,Angola,SSP3,2030,poverty_3usd,3.867594086021506,29.229374999999997,gdp_pc,13.687051023960462
AGO,Angola,SSP3,2050,poverty_3usd,3.867594086021506,20.878125,gdp_pc,6.749524512734201
AGO,Angola,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.696382533656304
AGO,Angola,SSP5,2030,poverty_3usd,3.867594086021506,15.474374999999998,gdp_pc,7.62700670254242
AGO,Angola,SSP5,2050,poverty_3usd,3.867594086021506,11.053125,gdp_pc,5.458145486277107
AGO,Angola,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.9525168936779965
ALB,Albania,SSP1,2030,poverty_3usd,3.867594086021506,0.091875,gdp_pc,8.20272721405386
ALB,Albania,SSP1,2050,poverty_3usd,3.867594086021506,0.065625,gdp_pc,4.101588550188361
ALB,Albania,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,1.7008026480598293
ALB,Albania,SSP2,2030,poverty_3usd,3.867594086021506,0.144375,gdp_pc,9.650219758503763
ALB,Albania,SSP2,2050,poverty_3usd,3.867594086021506,0.103125,gdp_pc,5.419547599970865
ALB,Albania,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,2.4386308220411985
ALB,Albania,SSP3,2030,poverty_3usd,3.867594086021506,0.223125,gdp_pc,28.53620063228501
ALB,Albania,SSP3,2050,poverty_3usd,3.867594086021506,0.159375,gdp_pc,-36.1800183656417
ALB,Albania,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-5.434845800853856
ALB,Albania,SSP5,2030,poverty_3usd,3.867594086021506,0.118125,gdp_pc,10.879922482271036
ALB,Albania,SSP5,2050,poverty_3usd,3.867594086021506,0.084375,gdp_pc,6.68283836549398
ALB,Albania,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,3.208414522053346
ARE,United Arab Emirates,SSP1,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,24.612147628179205
ARE,United Arab Emirates,SSP1,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.9808949156964233
ARE,United Arab Emirates,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.0850767809225172
ARE,United Arab Emirates,SSP2,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,7.971955989056776
ARE,United Arab Emirates,SSP2,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-4.223239902603673
ARE,United Arab Emirates,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.6624304677446187
ARE,United Arab Emirates,SSP3,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,1.0816317601314935
ARE,United Arab Emirates,SSP3,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,2.347176863229317
ARE,United Arab Emirates,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,5.2819464300377685
ARE,United Arab Emirates,SSP5,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,5.8023180413991495
ARE,United Arab Emirates,SSP5,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-5.4882968080626515
ARE,United Arab Emirates,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-3.143895720821085
ARG,Argentina,SSP1,2030,poverty_3usd,3.867594086021506,0.3062499999999999,gdp_pc,-1.8163502077575564
ARG,Argentina,SSP1,2050,poverty_3usd,3.867594086021506,0.21875,gdp_pc,-4.485269433128414
ARG,Argentina,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.7456637808337702
ARG,Argentina,SSP2,2030,poverty_3usd,3.867594086021506,0.48125,gdp_pc,-1.5798446277785896
ARG,Argentina,SSP2,2050,poverty_3usd,3.867594086021506,0.34375,gdp_pc,-1.9006485875683938
ARG,Argentina,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-1.3077586070704386
ARG,Argentina,SSP3,2030,poverty_3usd,3.867594086021506,0.74375,gdp_pc,-1.2533134375695003
ARG,Argentina,SSP3,2050,poverty_3usd,3.867594086021506,0.53125,gdp_pc,-1.0272847449963378
ARG,Argentina,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.48085232960040203
ARG,Argentina,SSP5,2030,poverty_3usd,3.867594086021506,0.39375,gdp_pc,-1.547686085175436
ARG,Argentina,SSP5,2050,poverty_3usd,3.867594086021506,0.28125,gdp_pc,-1.4761718335249023
ARG,Argentina,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.2428117264727625
ARM,Armenia,SSP1,2030,poverty_3usd,3.867594086021506,0.5818749999999999,gdp_pc,-0.6854982848740019
ARM,Armenia,SSP1,2050,poverty_3usd,3.867594086021506,0.4156249999999999,gdp_pc,-0.4917478460235977
ARM,Armenia,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-3.945043549379584
ARM,Armenia,SSP2,2030,poverty_3usd,3.867594086021506,0.914375,gdp_pc,-0.5912525764471678
ARM,Armenia,SSP2,2050,poverty_3usd,3.867594086021506,0.653125,gdp_pc,-0.384439718210088
ARM,Armenia,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,5.022590678249142
ARM,Armenia,SSP3,2030,poverty_3usd,3.867594086021506,1.413125,gdp_pc,-0.48990908601141864
ARM,Armenia,SSP3,2050,poverty_3usd,3.867594086021506,1.009375,gdp_pc,-0.42777099774466426
ARM,Armenia,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-0.19174763903089442
ARM,Armenia,SSP5,2030,poverty_3usd,3.867594086021506,0.7481249999999999,gdp_pc,-0.6108954413150377
ARM,Armenia,SSP5,2050,poverty_3usd,3.867594086021506,0.534375,gdp_pc,-0.3661487584393818
ARM,Armenia,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,2.2251459563384253
AUS,Australia,SSP1,2030,poverty_3usd,3.867594086021506,0.3062499999999999,gdp_pc,3.855373946844064
AUS,Australia,SSP1,2050,poverty_3usd,3.867594086021506,0.21875,gdp_pc,-0.6022640627906075
AUS,Australia,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-1.1952460513324334
AUS,Australia,SSP2,2030,poverty_3usd,3.867594086021506,0.48125,gdp_pc,9.739295158286593
AUS,Australia,SSP2,2050,poverty_3usd,3.867594086021506,0.34375,gdp_pc,-0.7978385800926554
AUS,Australia,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-1.5528665185345583
AUS,Australia,SSP3,2030,poverty_3usd,3.867594086021506,0.74375,gdp_pc,-2.5366541329698693
AUS,Australia,SSP3,2050,poverty_3usd,3.867594086021506,0.53125,gdp_pc,-1.0782308482604603
AUS,Australia,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,1.7235900423668613
AUS,Australia,SSP5,2030,poverty_3usd,3.867594086021506,0.39375,gdp_pc,119.32192291809632
AUS,Australia,SSP5,2050,poverty_3usd,3.867594086021506,0.28125,gdp_pc,-1.0221259556338222
AUS,Australia,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-1.8607870515875322
AUT,Austria,SSP1,2030,poverty_3usd,3.867594086021506,0.1531249999999999,gdp_pc,8.504868576784492
AUT,Austria,SSP1,2050,poverty_3usd,3.867594086021506,0.109375,gdp_pc,2.0721052606044497
AUT,Austria,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,0.19851859948467962
AUT,Austria,SSP2,2030,poverty_3usd,3.867594086021506,0.240625,gdp_pc,11.532133504544435
AUT,Austria,SSP2,2050,poverty_3usd,3.867594086021506,0.171875,gdp_pc,2.763267861264879
AUT,Austria,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,0.26740974179098354
AUT,Austria,SSP3,2030,poverty_3usd,3.867594086021506,0.371875,gdp_pc,-32.98833159345557
AUT,Austria,SSP3,2050,poverty_3usd,3.867594086021506,0.265625,gdp_pc,-13.827867260569391
AUT,Austria,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-4.694142006087614
AUT,Austria,SSP5,2030,poverty_3usd,3.867594086021506,0.196875,gdp_pc,14.866927934335973
AUT,Austria,SSP5,2050,poverty_3usd,3.867594086021506,0.140625,gdp_pc,3.4700675211567162
AUT,Austria,SSP5,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,0.3309233021700551
AZE,Azerbaijan,SSP1,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,-3.789013568490598
AZE,Azerbaijan,SSP1,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-6.092411751609949
AZE,Azerbaijan,SSP1,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,8.942926248065424
AZE,Azerbaijan,SSP2,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,-3.540044484463333
AZE,Azerbaijan,SSP2,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-4.516836954949998
AZE,Azerbaijan,SSP2,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-19.066827102473685
AZE,Azerbaijan,SSP3,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.912491082219696
AZE,Azerbaijan,SSP3,2050,poverty_3usd,3.867594086021506,0.0,gdp_pc,-2.4536286453660647
AZE,Azerbaijan,SSP3,2100,poverty_3usd,3.867594086021506,0.0,gdp_pc,-1.7399680283540169
AZE,Azerbaijan,SSP5,2030,poverty_3usd,3.867594086021506,0.0,gdp_pc,-3.4159071972817365
